id,Date,User,Tweet,Media,Likes,Retweets,Comments
87,2022-10-14 21:40:57+00:00,thedispatch,"""Most Ukrainians won't support a deal favorable to Russia partly due to the failed Minsk accords.

While they secured short-lived ceasefires after Russia's initial 2014 invasion, they paved the way for Putin's February offensive.""

from @lawsonreports:
https://t.co/cC98WHgmxt",,9,4,1
88,2022-10-10 17:34:00+00:00,thedispatch,"""In so many ways, Poland leads the way when it comes to dealing with Russia and European security.

The Poles remember being carved up between Germany and the Soviet Union. They remember the Cold War.”

@jteurope on Poland's role in the Russia-Ukraine war:
https://t.co/bmb19ZUMdr",,12,10,0
89,2022-10-05 16:13:48+00:00,thedispatch,"“Russia’s military setbacks are once again raising the question: Will Putin reach for nuclear weapons to accomplish what boots-on-the-ground apparently can’t?”

From today's excellent TMD with @declanpgarvey and @EstherJay10.

Also, what an excerpt:
https://t.co/FKH6e7J1iQ https://t.co/T5JyufM077",https://pbs.twimg.com/media/FeUXhuaX0AQKq1v?format=png&name=large,3,1,1
90,2022-10-03 20:24:00+00:00,thedispatch,"""[In the] hothouse world of anti-anti-Putinism, we are provoking Russia. We are to blame for the escalation with Russia if Putin launches a nuclear missile.

Once you buy into certain arguments about isolationism, this is where you end up.""

-@JonahDispatch, for the DisPod https://t.co/WthydZLnvJ",https://pbs.twimg.com/ext_tw_video_thumb/1577031646288699392/pu/img/NCTMqS8uxAUFXzgU.jpg,105,17,9
91,2022-09-07 15:13:55+00:00,thedispatch,Today’s Morning Dispatch (🔒): Russia Steps Up its Energy War with Europe https://t.co/QZ2psOQhPp,,4,0,1
92,2022-09-07 15:13:37+00:00,thedispatch,From Andrew Fink: Russia Is Using the Zaporizhia Nuclear Plant as a Shield—and as a Weapon https://t.co/aXLWwGhlIQ,,8,2,1
93,2022-08-26 13:12:30+00:00,thedispatch,From Andrew Fink: Russia’s Claims of Western Fascism Are Straight Out of Its Soviet Past https://t.co/7c4RGBPTfz,,2,1,0
94,2022-08-23 15:36:37+00:00,thedispatch,"Today’s Morning Dispatch (🔒): 

— Can the GOP still retake the Senate?
— Who killed Daria Dugina in Russia? https://t.co/A9MlFgQzyP",,2,0,0
95,2022-07-05 13:52:20+00:00,thedispatch,From Andrew Fink: How Russia Is Testing the EU’s Resolve on Sanctions https://t.co/DjCTnhIjQA,,0,1,0
96,2022-06-08 13:37:15+00:00,thedispatch,From Andrew Fink: How Russia Is Both Exacerbating and Benefiting From a Looming Food Crisis https://t.co/4DoOF16sC6,,1,1,0
97,2022-06-01 13:24:16+00:00,thedispatch,Today’s Morning Dispatch (🔒): Former Clinton Campaign Attorney Acquitted in Russia Probe https://t.co/PCBJLrQykB,,1,1,0
98,2022-05-31 23:22:36+00:00,thedispatch,"The French Press, from ⁦@DavidAFrench⁩ (🔒): The Tide Is Turning Toward Russia https://t.co/tRFr52RrGl",,16,10,3
99,2022-05-02 15:07:23+00:00,thedispatch,Today’s Morning Dispatch: How Russia's War on Ukraine Could Escalate https://t.co/9rEfqr00VA,,0,1,0
100,2022-04-25 12:40:14+00:00,thedispatch,From Andrew Fink: Does Russia Have Designs on Southern Ukraine? https://t.co/ZTw8DIUBuo,,2,0,1
101,2022-04-19 15:00:31+00:00,thedispatch,From ⁦@Nationstatist:⁩ Russia’s Dark History—and Bleak Future https://t.co/BO1m3uFgGq,,6,1,0
102,2022-04-19 15:00:16+00:00,thedispatch,From Andrew Fink: Russia Decides to Blame NATO for Sinking the Moskva https://t.co/kB6kvNQrnj,,6,2,1
103,2022-04-14 16:13:53+00:00,thedispatch,"Today’s Morning Dispatch (🔒): 

— Headline inflation remains hot, but some early signs of slowing
— What Russia’s invasion of Ukraine is doing to global food supply https://t.co/cwMNKrScXv",,2,0,0
104,2022-04-13 14:27:11+00:00,thedispatch,From Andrew Fink: The ‘Butcher of Syria’ Now Leads Russia’s Troops in Ukraine https://t.co/OKjAhQNUx8,,3,0,0
105,2022-03-30 13:59:03+00:00,thedispatch,Today’s Morning Dispatch (🔒): Will Russia Give Peace a Chance? https://t.co/CUvIWc7zYC,,2,0,0
106,2022-03-29 15:38:17+00:00,thedispatch,From Andrew Fink: Russia’s New ‘Limited Strategy’ Doesn’t Mean Less War https://t.co/CM9TcK7a5L,,3,1,0
107,2022-03-28 13:50:45+00:00,thedispatch,From Andrew Fink: What to Make of Russia’s Saber-Rattling Toward Poland https://t.co/SfY3LpGrfH,,4,0,0
108,2022-03-18 14:20:53+00:00,thedispatch,"From ⁦@lawsonreports⁩: Concessions to Iran, Russia Pile Up in Nuclear Talks https://t.co/1fThwAOG0A",,4,1,0
109,2022-03-18 14:19:47+00:00,thedispatch,"Uphill, from ⁦@byrdinator⁩ &amp; ⁦@HarvestPrude:⁩ The House Hits Russia on Trade https://t.co/iOW7kOksjD",,5,3,0
110,2022-03-15 15:17:45+00:00,thedispatch,"Today’s Morning Dispatch: 

— China's Russia triangulation
— Behind the scenes at Rep. Liz Cheney’s latest fundraiser
— TMD’s March Madness bracket pool 🏀  https://t.co/iOz5EJdHR1",,0,0,0
111,2022-03-14 13:10:49+00:00,thedispatch,From ⁦@Nationstatist⁩: Why China Is Unlikely to Save Russia’s Economy https://t.co/5Cfx6nucFP,,5,5,0
112,2022-03-09 15:17:08+00:00,thedispatch,From ⁦@lawsonreports:⁩ Why Did Russia Invade Ukraine Now? https://t.co/yPeJstrVpl,,6,4,1
113,2022-03-09 15:16:41+00:00,thedispatch,"Today’s Morning Dispatch (🔒): For Russia, Why Now? https://t.co/Qe3E2vMTIL",,2,0,0
114,2022-03-03 17:54:50+00:00,thedispatch,"Today’s Morning Dispatch (🔒): 

— Russia ramps up shelling of civilian infrastructure
— That new January 6 Committee filing https://t.co/AdXJar4sgd",,2,0,0
